C06A1.5	T20B12.2
C06A1.5	W01G7.3
C06A1.5	W03F9.5
C06A1.5	Y37E3.3
C06A1.5	Y39B6A.36
C06A1.5	Y50D7A.2
C06A1.5	Y54E10BR.6
C06A1.5	Y66D12A.15
C06A1.5	Y73F8A.24
C06A1.5	Y97E10AR.5
C06A1.5	ZK1128.4
C06A1.5	ZK550.4
C26E6.4	C36B1.3
C26E6.4	F23B2.13
C26E6.4	F26F4.11
C26E6.4	F36A4.7
C26E6.4	F43E2.2
C26E6.4	F54D5.11
C26E6.4	H27M09.2
C26E6.4	R02D3.3
C26E6.4	T16H12.4
C26E6.4	T20B12.2
C26E6.4	W01G7.3
C26E6.4	W03F9.5
C26E6.4	Y37E3.3
C26E6.4	Y39B6A.36
C26E6.4	Y50D7A.2
C26E6.4	Y54E10BR.6
C26E6.4	Y66D12A.15
C26E6.4	Y73F8A.24
C26E6.4	Y97E10AR.5
C26E6.4	ZK1128.4
C26E6.4	ZK550.4
C36B1.3	F23B2.13
C36B1.3	F26F4.11
C36B1.3	F36A4.7
C36B1.3	F43E2.2
C36B1.3	F54D5.11
C36B1.3	H27M09.2
C36B1.3	R02D3.3
C36B1.3	T16H12.4
C36B1.3	T20B12.2
C36B1.3	W01G7.3
C36B1.3	W03F9.5
C36B1.3	Y37E3.3
C36B1.3	Y39B6A.36
C36B1.3	Y50D7A.2
C36B1.3	Y54E10BR.6
C36B1.3	Y66D12A.15
C36B1.3	Y73F8A.24
C36B1.3	Y97E10AR.5
C36B1.3	ZK1128.4
C36B1.3	ZK550.4
F23B2.13	F26F4.11
F23B2.13	F36A4.7
F23B2.13	F43E2.2
F23B2.13	F54D5.11
F23B2.13	H27M09.2
F23B2.13	R02D3.3
F23B2.13	T16H12.4
F23B2.13	T20B12.2
F23B2.13	W01G7.3
F23B2.13	W03F9.5
F23B2.13	Y37E3.3
F23B2.13	Y39B6A.36
F23B2.13	Y50D7A.2
F23B2.13	Y54E10BR.6
F23B2.13	Y66D12A.15
F23B2.13	Y73F8A.24
F23B2.13	Y97E10AR.5
F23B2.13	ZK1128.4
F23B2.13	ZK550.4
F26F4.11	F36A4.7
F26F4.11	F43E2.2
F26F4.11	F54D5.11
F26F4.11	H27M09.2
F26F4.11	R02D3.3
F26F4.11	T16H12.4
F26F4.11	T20B12.2
F26F4.11	W01G7.3
F26F4.11	W03F9.5
F26F4.11	Y37E3.3
F26F4.11	Y39B6A.36
F26F4.11	Y50D7A.2
F26F4.11	Y54E10BR.6
F26F4.11	Y66D12A.15
F26F4.11	Y73F8A.24
F26F4.11	Y97E10AR.5
F26F4.11	ZK1128.4
F26F4.11	ZK550.4
F36A4.7	F43E2.2
F36A4.7	F54D5.11
F36A4.7	H27M09.2
F36A4.7	R02D3.3
F36A4.7	T16H12.4
F36A4.7	T20B12.2
F36A4.7	W01G7.3
F36A4.7	W03F9.5
F36A4.7	Y37E3.3
F36A4.7	Y39B6A.36
F36A4.7	Y50D7A.2
F36A4.7	Y54E10BR.6
F36A4.7	Y66D12A.15
F36A4.7	Y73F8A.24
F36A4.7	Y97E10AR.5
F36A4.7	ZK1128.4
F36A4.7	ZK550.4
F43E2.2	F54D5.11
F43E2.2	H27M09.2
F43E2.2	R02D3.3
F43E2.2	T16H12.4
F43E2.2	T20B12.2
F43E2.2	W01G7.3
F43E2.2	W03F9.5
F43E2.2	Y37E3.3
F43E2.2	Y39B6A.36
F43E2.2	Y50D7A.2
F43E2.2	Y54E10BR.6
F43E2.2	Y66D12A.15
F43E2.2	Y73F8A.24
F43E2.2	Y97E10AR.5
F43E2.2	ZK1128.4
F43E2.2	ZK550.4
F54D5.11	H27M09.2
F54D5.11	R02D3.3
F54D5.11	T16H12.4
F54D5.11	T20B12.2
F54D5.11	W01G7.3
F54D5.11	W03F9.5
F54D5.11	Y37E3.3
F54D5.11	Y39B6A.36
F54D5.11	Y50D7A.2
F54D5.11	Y54E10BR.6
F54D5.11	Y66D12A.15
F54D5.11	Y73F8A.24
F54D5.11	Y97E10AR.5
F54D5.11	ZK1128.4
F54D5.11	ZK550.4
H27M09.2	R02D3.3
H27M09.2	T16H12.4
H27M09.2	T20B12.2
H27M09.2	W01G7.3
H27M09.2	W03F9.5
H27M09.2	Y37E3.3
H27M09.2	Y39B6A.36
H27M09.2	Y50D7A.2
H27M09.2	Y54E10BR.6
H27M09.2	Y66D12A.15
H27M09.2	Y73F8A.24
H27M09.2	Y97E10AR.5
H27M09.2	ZK1128.4
H27M09.2	ZK550.4
R02D3.3	T16H12.4
R02D3.3	T20B12.2
R02D3.3	W01G7.3
R02D3.3	W03F9.5
R02D3.3	Y37E3.3
R02D3.3	Y39B6A.36
R02D3.3	Y50D7A.2
R02D3.3	Y54E10BR.6
R02D3.3	Y66D12A.15
R02D3.3	Y73F8A.24
R02D3.3	Y97E10AR.5
R02D3.3	ZK1128.4
R02D3.3	ZK550.4
T16H12.4	T20B12.2
T16H12.4	W01G7.3
T16H12.4	W03F9.5
T16H12.4	Y37E3.3
T16H12.4	Y39B6A.36
T16H12.4	Y50D7A.2
T16H12.4	Y54E10BR.6
T16H12.4	Y66D12A.15
T16H12.4	Y73F8A.24
T16H12.4	Y97E10AR.5
T16H12.4	ZK1128.4
T16H12.4	ZK550.4
T20B12.2	W01G7.3
T20B12.2	W03F9.5
T20B12.2	Y37E3.3
T20B12.2	Y39B6A.36
T20B12.2	Y50D7A.2
T20B12.2	Y54E10BR.6
T20B12.2	Y66D12A.15
T20B12.2	Y73F8A.24
T20B12.2	Y97E10AR.5
T20B12.2	ZK1128.4
T20B12.2	ZK550.4
W01G7.3	W03F9.5
W01G7.3	Y37E3.3
W01G7.3	Y39B6A.36
W01G7.3	Y50D7A.2
W01G7.3	Y54E10BR.6
W01G7.3	Y66D12A.15
W01G7.3	Y73F8A.24
W01G7.3	Y97E10AR.5
W01G7.3	ZK1128.4
W01G7.3	ZK550.4
W03F9.5	Y37E3.3
W03F9.5	Y39B6A.36
W03F9.5	Y50D7A.2
W03F9.5	Y54E10BR.6
W03F9.5	Y66D12A.15
W03F9.5	Y73F8A.24
W03F9.5	Y97E10AR.5
W03F9.5	ZK1128.4
W03F9.5	ZK550.4
Y37E3.3	Y39B6A.36
Y37E3.3	Y50D7A.2
Y37E3.3	Y54E10BR.6
Y37E3.3	Y66D12A.15
Y37E3.3	Y73F8A.24
Y37E3.3	Y97E10AR.5
Y37E3.3	ZK1128.4
Y37E3.3	ZK550.4
Y39B6A.36	Y50D7A.2
Y39B6A.36	Y54E10BR.6
Y39B6A.36	Y66D12A.15
Y39B6A.36	Y73F8A.24
Y39B6A.36	Y97E10AR.5
Y39B6A.36	ZK1128.4
Y39B6A.36	ZK550.4
Y50D7A.2	Y54E10BR.6
Y50D7A.2	Y66D12A.15
Y50D7A.2	Y73F8A.24
Y50D7A.2	Y97E10AR.5
Y50D7A.2	ZK1128.4
Y50D7A.2	ZK550.4
Y54E10BR.6	Y66D12A.15
